SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,Vietnamese,Middle School Registration,3,Initially Fluent (IFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Vietnamese,Edna Brewer,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,Vietnamese,Roosevelt,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,White (not Hispanic),High School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,Hispanic or Latino,Middle School Registration,103,Redesignated (RFEP),3.83,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Hispanic or Latino,Urban Promise Academy,462,English Only,1.20,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94621,Black or African American,Montera,306,English Only,3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Hispanic or Latino,Roosevelt,348,English Learner,2.33,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94607,Cambodian,Oakland Technical HS,447,Redesignated (RFEP),1.68,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Black or African American,Westlake,484,English Learner,0.67,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Hispanic or Latino,Westlake,417,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Hispanic or Latino,Melrose Leadership Academy,237,Redesignated (RFEP),3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94601,Hispanic or Latino,Oakland Technical HS,112,Redesignated (RFEP),4.02,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94610,Other Asian,Oakland Technical HS,39,Initially Fluent (IFEP),4.25,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94608,Black or African American,Oakland Unified School District,366,English Only,2.22,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Hispanic or Latino,La Escuelita,348,Redesignated (RFEP),2.50,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94603,Hispanic or Latino,Claremont,153,English Learner,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Cambodian,Claremont,237,Redesignated (RFEP),3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Hispanic or Latino,La Escuelita,285,Redesignated (RFEP),3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Black or African American,Westlake,417,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94602,Chinese,Oakland Technical HS,109,Redesignated (RFEP),4.02,Above,5
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Filipino,West Oakland MS,465,Redesignated (RFEP),1.33,Below,2
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94608,White (not Hispanic),Oakland Technical HS,307,English Only,2.92,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Hillcrest,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Montera,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94605,Black or African American,Montera,327,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94609,White (not Hispanic),Oakland Technical HS,510,English Only,0.75,Below,1
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94610,Other or Not Specified,Oakland Technical HS,207,English Only,3.51,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94602,Hispanic or Latino,Oakland Technical HS,425,English Learner,2.12,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Hispanic or Latino,Claremont,3,English Only,4.00,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94601,Other Pacific Islander,High School Registration,521,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Montera,258,English Only,3.50,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94612,White (not Hispanic),Westlake,390,English Only,2.20,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Hispanic or Latino,Westlake,359,English Only,2.20,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,Hispanic or Latino,Montera,237,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Black or African American,Inactive Students School,456,English Only,1.33,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94619,Other Asian,Oakland Technical HS,101,Redesignated (RFEP),3.89,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Filipino,Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94605,Chinese,Edna Brewer,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94609,White (not Hispanic),Oakland Technical HS,188,English Only,3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Westlake,492,English Only,0.17,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,Black or African American,Westlake,306,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94611,White (not Hispanic),Oakland Technical HS,225,Initially Fluent (IFEP),3.46,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Chinese,Middle School Registration,206,Redesignated (RFEP),3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Chinese,Middle School Registration,285,Redesignated (RFEP),3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94606,Filipino,Oakland Technical HS,335,Redesignated (RFEP),2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Hispanic or Latino,Melrose Leadership Academy,285,Redesignated (RFEP),3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Hispanic or Latino,Claremont,306,Redesignated (RFEP),2.67,Above,3
Other Spec Ed Services,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Black or African American,Westlake,477,English Only,1.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94618,White (not Hispanic),Oakland Technical HS,193,English Only,3.70,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Middle School Registration,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Cambodian,Middle School Registration,3,English Only,4.00,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,American Indian or Alaskan Native,Montera,153,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,Black or African American,Middle School Registration,379,English Only,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94619,Black or African American,Oakland Technical HS,415,English Only,2.24,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94605,White (not Hispanic),Oakland Technical HS,136,English Only,3.72,Above,4
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94602,Other or Not Specified,Oakland Technical HS,273,English Only,3.11,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94606,Hispanic or Latino,Inactive Students School,368,English Only,2.44,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Hispanic or Latino,Life Academy,306,Redesignated (RFEP),2.67,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Middle School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,White (not Hispanic),Claremont,153,English Only,3.67,Above,4
Inclusion,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94610,Chinese,Oakland Technical HS,296,English Only,3.13,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94601,Other or Not Specified,Oakland Technical HS,238,English Only,3.42,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94611,Black or African American,High School Registration,521,English Only,0.00,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,White (not Hispanic),Montera,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94611,Black or African American,Oakland Technical HS,384,English Only,2.42,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94608,Black or African American,Oakland Technical HS,264,English Only,3.30,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,High School Registration,417,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94607,Hispanic or Latino,High School Registration,466,Initially Fluent (IFEP),1.03,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94545,Black or African American,Oakland Technical HS,443,English Only,1.89,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Middle School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Westlake,432,English Only,1.83,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94602,White (not Hispanic),Edna Brewer,3,English Only,4.00,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Hispanic or Latino,Roots International Academy,340,English Only,3.00,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94601,Hispanic or Latino,Oakland Technical HS,250,English Learner,3.82,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94605,Hispanic or Latino,Oakland Technical HS,200,English Learner,3.82,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94603,Hispanic or Latino,Alliance Academy,306,Redesignated (RFEP),2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94603,Hispanic or Latino,Alliance Academy,306,Redesignated (RFEP),2.83,Above,3
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Black or African American,Claremont,463,English Only,1.17,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,Hispanic or Latino,Middle School Registration,275,English Only,3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Chinese,Middle School Registration,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94611,Hispanic or Latino,High School Registration,231,Initially Fluent (IFEP),3.33,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,Westlake,360,English Only,2.50,Above,3
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94603,Black or African American,Edna Brewer,360,English Only,2.33,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,White (not Hispanic),Middle School Registration,206,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Black or African American,Claremont,379,English Only,2.00,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Hillcrest,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94603,Filipino,Oakland Technical HS,155,English Only,3.63,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94606,Other Asian,Oakland Technical HS,263,Initially Fluent (IFEP),3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,White (not Hispanic),Roosevelt,465,English Only,1.33,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94607,Other or Not Specified,Edna Brewer,275,English Only,3.17,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Hispanic or Latino,Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94608,Other or Not Specified,High School Registration,259,Redesignated (RFEP),3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Filipino,Middle School Registration,206,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Middle School Registration,275,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Middle School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Hawaiian,Edna Brewer,206,English Only,3.50,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94621,Black or African American,Oakland Technical HS,373,English Only,2.73,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94601,Hispanic or Latino,Oakland Technical HS,233,Redesignated (RFEP),3.40,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94609,Black or African American,Oakland Technical HS,371,English Only,2.43,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94612,Black or African American,Oakland Technical HS,314,English Learner,3.18,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Filipino,Claremont,327,English Only,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94619,Black or African American,Westlake,153,English Only,3.67,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94605,Black or African American,Oakland Technical HS,430,English Only,2.40,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Montera,206,English Only,3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94618,White (not Hispanic),Oakland Technical HS,325,English Only,2.70,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94611,White (not Hispanic),Oakland Technical HS,318,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,Other or Not Specified,Claremont,258,English Only,3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94609,Hispanic or Latino,Oakland Unified School District,367,English Only,2.19,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,White (not Hispanic),Claremont,237,Redesignated (RFEP),3.50,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Black or African American,Montera,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94530,American Indian or Alaskan Native,Edna Brewer,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Other or Not Specified,Middle School Registration,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94619,White (not Hispanic),Edna Brewer,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Middle School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94705,White (not Hispanic),Claremont,348,English Only,2.67,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94601,Black or African American,Claremont,285,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,Black or African American,Montera,417,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Middle School Registration,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,White (not Hispanic),High School Registration,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94612,Chinese,Middle School Registration,103,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94621,Black or African American,Oakland Technical HS,443,English Only,2.11,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94607,Black or African American,Oakland Technical HS,427,English Only,2.14,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Claremont,237,English Only,3.33,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94608,White (not Hispanic),Claremont,360,English Only,2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94610,Black or African American,Edna Brewer,327,English Only,2.83,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94608,Black or African American,Oakland Technical HS,519,English Only,0.11,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94609,Other or Not Specified,Oakland Technical HS,439,English Only,2.06,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94607,Black or African American,Oakland Technical HS,63,English Only,4.00,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Black or African American,Roosevelt,417,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Black or African American,Montera,327,English Only,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94611,White (not Hispanic),Montera,103,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94619,White (not Hispanic),Claremont,206,English Only,3.67,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Black or African American,Hillcrest,390,English Only,2.33,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94621,Hispanic or Latino,Oakland Technical HS,428,English Learner,2.06,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94606,Other Asian,Oakland Technical HS,33,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94611,White (not Hispanic),Oakland Technical HS,275,English Only,3.22,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94608,Black or African American,Oakland Technical HS,231,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94607,Black or African American,West Oakland MS,432,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,White (not Hispanic),Montera,153,Initially Fluent (IFEP),3.67,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94608,Black or African American,Oakland Technical HS,152,English Only,3.85,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94605,Black or African American,Montera,379,English Only,2.33,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Chinese,Middle School Registration,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,Chinese,Edna Brewer,103,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94606,Chinese,Edna Brewer,3,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94612,Cambodian,Oakland Technical HS,197,Redesignated (RFEP),3.61,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Claremont,3,English Only,4.00,Above,4
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,White (not Hispanic),Montera,491,English Only,0.20,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94609,Korean,High School Registration,352,English Only,2.85,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94610,Chinese,Oakland Technical HS,253,English Learner,3.22,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Chinese,High School Registration,153,Redesignated (RFEP),3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94601,Chinese,Middle School Registration,348,Redesignated (RFEP),2.17,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94606,Chinese,Middle School Registration,153,Redesignated (RFEP),3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Japanese,Claremont,3,Initially Fluent (IFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94612,Black or African American,Bret Harte,348,English Only,2.50,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94612,Black or African American,Roosevelt,390,English Only,2.00,Below,2
