SPED,Affiliation Binary,Affiliation,Academy or House,Paideia,Description_U9,Description_U11,Sex,Grade,Zip code,Ethnicity,Last School,Class Rank,Language Fluency,GPA,2.5,GPA Slice
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94606,White (not Hispanic),Oakland Technical HS,374,Redesignated (RFEP),2.42,Below,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94605,White (not Hispanic),Oakland Technical HS,231,English Learner,3.33,Above,4
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94621,White (not Hispanic),Oakland Technical HS,118,English Learner,3.82,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94611,Other Asian,Edna Brewer,360,Redesignated (RFEP),2.33,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94619,Hispanic or Latino,Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,10,94607,Other or Not Specified,High School Registration,117,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Claremont,153,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94611,Filipino,Oakland Technical HS,184,English Only,3.55,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94609,Black or African American,High School Registration,329,English Only,2.87,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94621,Hispanic or Latino,Roots International Academy,432,Redesignated (RFEP),1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94612,Hispanic or Latino,Middle School Registration,275,Initially Fluent (IFEP),3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94605,Black or African American,Claremont,103,English Learner,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,White (not Hispanic),Westlake,406,Redesignated (RFEP),1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,11,94619,Other Asian,Oakland Technical HS,441,English Learner,1.71,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94621,Hispanic or Latino,Roots International Academy,258,Redesignated (RFEP),3.33,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,12,94609,Black or African American,Oakland Technical HS,388,English Only,2.56,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94608,Black or African American,Inactive Students School,316,English Only,2.97,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94608,Black or African American,High School Registration,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94602,White (not Hispanic),Oakland Technical HS,350,English Only,2.87,Above,3
RSP (Resource Specialist Program),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94602,Black or African American,Edna Brewer,432,English Only,1.67,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Middle School Registration,3,English Only,4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94609,Black or African American,Oakland HS,481,Redesignated (RFEP),0.83,Below,1
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,12,94621,Other Asian,Oakland Technical HS,374,Redesignated (RFEP),2.52,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94621,Hispanic or Latino,Skyline,446,Redesignated (RFEP),1.63,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Other or Not Specified,Inactive Students School,103,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,11,94609,Black or African American,Oakland Technical HS,340,English Only,2.61,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Hispanic or Latino,Claremont,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,Hispanic or Latino,Claremont,206,English Only,3.67,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94610,Black or African American,Claremont,103,Redesignated (RFEP),4.00,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Edna Brewer,432,Redesignated (RFEP),1.50,Below,2
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94609,Black or African American,Edna Brewer,285,English Only,3.00,Above,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94605,White (not Hispanic),High School Registration,341,English Only,2.50,Above,3
SDC (Special Day Class),Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,10,94607,Black or African American,Oakland Technical HS,430,English Only,2.20,Below,3
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,M,9,94618,White (not Hispanic),Claremont,103,English Only,3.83,Above,4
Not applicable,Not Affiliated,Not Affiliated,Not Applicable,Not applicable,Not applicable,Not applicable,F,9,94618,White (not Hispanic),Middle School Registration,3,English Only,4.00,Above,4
